00000001 // 1
00000010 // 2
00000011 // 3
00000100 // 4
00000101 // 5
00000110 // 6
00000111 // 7
00001000 // 8
00001001 // 9
00001010 // 10
00001011 // 11
00001100 // 12
00001101 // 13
00001110 // 14
00001111 // 15
00010000 // 16
00010001 // 17
00010010 // 18
00010011 // 19
00010100 // 20
00010101 // 21
00010110 // 22
00010111 // 23
00011000 // 24
00011001 // 25
00011010 // 26
00011011 // 27
00011100 // 28
00011101 // 29
00011110 // 30
00011111 // 31
00100000 // 32
00100001 // 33
00100010 // 34
00100011 // 35
00100100 // 36
00100101 // 37
00100110 // 38
00100111 // 39
00101000 // 40
00101001 // 41
00101010 // 42
00101011 // 43
00101100 // 44
00101101 // 45
00101110 // 46
00101111 // 47
00110000 // 48
00110001 // 49
00110010 // 50
