00110011 // 51
00110100 // 52
00110101 // 53
00110110 // 54
00110111 // 55
00111000 // 56
00111001 // 57
00111010 // 58
00111011 // 59
00111100 // 60
00111101 // 61
00111110 // 62
00111111 // 63
01000000 // 64
01000001 // 65
01000010 // 66
01000011 // 67
01000100 // 68
01000101 // 69
01000110 // 70
01000111 // 71
01001000 // 72
01001001 // 73
01001010 // 74
01001011 // 75
01001100 // 76
01001101 // 77
01001110 // 78
01001111 // 79
01010000 // 80
01010001 // 81
01010010 // 82
01010011 // 83
01010100 // 84
01010101 // 85
01010110 // 86
01010111 // 87
01011000 // 88
01011001 // 89
01011010 // 90
01011011 // 91
01011100 // 92
01011101 // 93
01011110 // 94
01011111 // 95
01100000 // 96
01100001 // 97
01100010 // 98
01100011 // 99
01100100 // 100
